Index,Height(m),Weight(kg),BMI,classification
1,1.6708960739999998,51.252494060000004,18.35760947545468,Mild Thinness
2,1.816486334,61.9095473816,18.762614655207983,Normal
3,1.762727996,69.41177762480001,22.33894004444481,Normal
4,1.73270164,64.5621987568,21.504568843039767,Normal
5,1.7218103739999997,65.4520101832,22.07762483010027,Normal
6,1.744925136,55.9289822208,18.368907138915052,Mild Thinness
7,1.772971816,64.1808639624,20.417468544893875,Normal
8,1.778373888,61.8982075816,19.571852188269403,Normal
9,1.7247273099999998,50.971176301599996,17.134986864593206,Mild Thinness
10,1.6962719439999998,54.733676582399994,19.022327901354707,Normal
11,1.688787326,57.811026147199996,20.27032706395887,Normal
12,1.7176325819999998,51.774351656,17.549070948031673,Mild Thinness
13,1.734882992,56.976008634399996,18.93004486696003,Normal
14,1.7047606240000002,55.5476927856,19.1134556710479,Normal
15,1.7343036179999998,52.6559530672,17.50641492771288,Mild Thinness
16,1.8057266399999998,63.50174602,19.475187882414165,Normal
17,1.6881093999999999,58.741207261599996,20.613023178790627,Normal
18,1.743691458,64.8515450936,21.32951830038052,Normal
19,1.8092503819999999,62.55147078,19.109097651896956,Normal
20,1.705131972,56.265774280799995,19.352109121914435,Normal
21,1.7229782659999997,64.0837952744,21.586817798721192,Normal
22,1.749521774,65.1082328064,21.271455318231656,Normal
23,1.61242121,44.40752316072,17.08045936123242,Mild Thinness
24,1.7379154979999998,58.7413886984,19.448535198913856,Normal
25,1.7177522159999998,64.3420705592,21.805899072389376,Normal
26,1.707099456,58.8419500448,20.19153839266084,Normal
27,1.7993956899999999,64.602160212,19.952333193115713,Normal
28,1.7143562359999998,59.67011831839999,20.302744811666773,Normal
29,1.6899638539999997,49.1387099808,17.205564238639674,Mild Thinness
30,1.6622008919999998,51.6605907824,18.69787905718697,Normal
31,1.76589182,46.856779347199996,15.026029767481441,Severe Thinness
32,1.6716552799999997,54.7728669312,19.600719995574444,Normal
33,1.7225340199999999,57.0567026512,19.22963557518882,Normal
34,1.79311427,61.78943622,19.217562363231227,Normal
35,1.823842936,63.548919588,19.104395508750073,Normal
36,1.757835702,58.39938033040001,18.899559291462268,Normal
37,1.6968134719999999,64.3190734448,22.339403484212664,Normal
38,1.718536822,54.9898199848,18.619354218557046,Normal
39,1.7222980540000001,59.5783112976,20.0849875810298,Normal
40,1.62675189,48.403482708,18.290853487497913,Mild Thinness
41,1.7417956019999998,56.4086104016,18.593066472891138,Normal
42,1.655662678,56.6350888872,20.66054951633484,Normal
43,1.769316756,63.3536935912,20.237681603508598,Normal
44,1.7263696739999999,62.3097516032,20.906841322490507,Normal
45,1.675914352,48.2848230408,17.191232100790103,Mild Thinness
46,1.744281246,58.4062749288,19.196695919262524,Normal
47,1.698774352,66.08096085039999,22.898390553123665,Normal
48,1.7195464719999998,52.988163848,17.920537670247455,Mild Thinness
49,1.7734577179999997,65.145563428,20.713007727270718,Normal
50,1.754839518,61.20430254,19.875000187712143,Normal
51,1.7758356659999999,66.6879576648,21.14666420182329,Normal
52,1.7102282279999999,57.301596972,19.591089335990734,Normal
53,1.784842506,56.918493168800005,17.867080496698108,Mild Thinness
54,1.7552273760000001,52.484404572799995,17.035838203919198,Mild Thinness
55,1.660742424,56.0137132064,20.309059106894374,Normal
56,1.782685538,67.0829002192,21.108741804059164,Normal
57,1.788316718,70.7144031304,22.111540816665162,Normal
58,1.690211504,58.093432526399994,20.335035340180802,Normal
59,1.6856501720000001,54.1453223992,19.05574995927533,Normal
60,1.7154398000000002,60.6973227616,20.62616899669531,Normal
61,1.689206172,58.39203213999999,20.46389366907387,Normal
62,1.7525893319999999,62.3894477176,20.31191233875465,Normal
63,1.73491017,58.858279356800004,19.55480890313599,Normal
64,1.70211877,58.433535808,20.16891076249502,Normal
65,1.798470368,61.378481867999994,18.976213986078353,Normal
66,1.7327755539999998,49.7188087896,16.55907565153597,Moderate Thinness
67,1.7541021559999999,64.6225264928,21.002653551769622,Normal
68,1.720368162,60.213884408,20.344819969625334,Normal
69,1.7072782720000002,46.95924578,16.1106286232638,Moderate Thinness
70,1.711137802,56.5764848008,19.322618929038953,Normal
71,1.657866382,58.6556598104,21.340808776347185,Normal
